,word,frequency,label
0,and,2,democrat
1,civil,2,democrat
2,gun,2,democrat
3,ownership,2,democrat
4,drugs,2,democrat
5,education,2,democrat
6,abortion,1,democrat
7,embryonic,1,democrat
8,stem,1,democrat
9,cell,1,democrat
10,and,2,republican
11,civil,2,republican
12,gun,2,republican
13,ownership,2,republican
14,drugs,2,republican
15,education,2,republican
16,abortion,1,republican
17,embryonic,1,republican
18,stem,1,republican
19,cell,1,republican
20,and,2,independent
21,civil,2,independent
22,gun,2,independent
23,ownership,2,independent
24,drugs,2,independent
25,education,2,independent
26,abortion,1,independent
27,embryonic,1,independent
28,stem,1,independent
29,cell,1,independent
30,and,2,other
31,civil,2,other
32,gun,2,other
33,ownership,2,other
34,drugs,2,other
35,education,2,other
36,abortion,1,other
37,embryonic,1,other
38,stem,1,other
39,cell,1,other
